OG0000000	+0	+0	-8	+69	-13	+0	+9	-1	+0
OG0000001	-18	+7	-4	+6	-2	+0	+0	+0	+0
OG0000002	-19	+7	-12	+9	-1	+0	+2	-1	+0
OG0000003	-13	+3	+2	+3	-2	+0	-5	+1	+0
OG0000004	-10	+0	-6	+13	-7	+0	+6	-2	+0
OG0000006	-17	+4	-14	+7	-1	+0	+4	-1	+0
OG0000007	-14	+1	+4	+2	-2	+2	-4	+1	+0
OG0000025	+0	+0	+0	+0	+0	+0	+26	-10	+0
OG0000026	-4	+22	-1	+3	+1	+0	-3	+0	+0
OG0000041	+0	+0	+18	-2	-5	+0	+0	+0	+0
OG0000044	-3	+0	+12	+0	-2	+2	-3	+1	+0
OG0000063	+0	+0	-1	+0	-2	+0	+12	-4	+0
OG0000068	+0	+0	+19	+0	-2	+0	+0	+0	+0
OG0000082	+0	+0	+0	+0	+0	+0	+14	-5	+0
OG0000083	+0	+0	+11	+0	-2	+2	-2	+0	+0
OG0000084	-3	+0	+13	-1	+0	+0	+0	+0	+0
OG0000085	-1	+16	-2	+0	+1	+0	-1	+0	+0
OG0000096	-1	+0	+0	+0	+0	+0	+10	-4	+0
OG0000097	-1	+19	+0	+0	+1	-1	+0	+0	+0
OG0000106	-1	+0	+12	-3	-3	+0	+0	+0	+0
OG0000181	-1	+11	+0	+0	+2	-1	+0	+0	+0
OG0000215	+0	+0	+0	+10	-2	+0	-1	+0	+0
OG0000226	+0	+0	+10	+0	+0	+0	+0	+0	+0
OG0000252	-1	+0	+0	+10	+0	+0	+0	+0	+0
